Source,Target,Label
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.module.scss","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.module.scss"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/modal/modal.js","client-tabs/client-tab-content/client-contact-persons-tab/components/modal.js","client-tabs/client-tab-content/client-contact-persons-tab/components/modal.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/select-loader.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/select-loader.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/select-loader.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/select-loader.module.scss","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/select-loader.module.scss"
"client-tabs/client-tab-content/client-contact-persons-tab/components/constants.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.container.js","client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.container.js","client-tabs/client-tab-content/client-general-tab/client-contacts/store/client-contacts.action-creator.js","client-tabs/client-tab-content/client-general-tab/client-contacts/store/client-contacts.action-creator.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","../../../core/hooks/use-fetch-connector.js","../../../core/hooks/use-fetch-connector.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/constants.js","client-tabs/client-tab-content/client-contact-persons-tab/components/constants.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.module.scss","client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.module.scss"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/contactDuplicatePhoneModal/contactDuplicatePhoneCheck.service.js","client-tabs/client-tab-content/client-contact-persons-tab/components/contactDuplicatePhoneModal/contactDuplicatePhoneCheck.service.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/contactDuplicatePhoneModal/contactDuplicatePhoneCheckModal.component.js","client-tabs/client-tab-content/client-contact-persons-tab/components/contactDuplicatePhoneModal/contactDuplicatePhoneCheckModal.component.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/controlled-input.js","client-tabs/client-tab-content/client-contact-persons-tab/components/controlled-input.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/customer.js","client-tabs/client-tab-content/client-contact-persons-tab/components/customer.js"
